Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/10/2019,-0.003069437,-0.004569437,0.0207,0.0023,-0.0205,0.0042,-0.0094,0.0015,0.0024
1/9/2019,-0.050560894,-0.052360894,0.0144,0.0032,0.0671,0.0197,0.0355,0.0018,-0.0685
1/8/2019,-0.03426313,-0.03586313,-0.0258,-0.033,-0.0499,0.0036,-0.0096,0.0016,0.076
1/7/2019,0.02413349,0.02223349,0.0119,-0.0191,0.0014,-0.0008,0.0036,0.0019,0.0268
1/6/2019,0.05755831,0.05575831,0.0693,0.0037,-0.0108,0.0094,-0.0038,0.0018,-0.0223
1/5/2019,-0.035993297,-0.038093297,-0.0694,-0.0147,-0.0239,-0.0035,0.0178,0.0021,0.0761
1/4/2019,0.233630508,0.231530508,0.0396,-0.0113,0.0193,0.0175,-0.0217,0.0021,-0.0261
1/3/2019,-0.016040394,-0.017940394,0.011,-0.0354,-0.0407,0.0093,-0.0102,0.0019,0.0218
1/2/2019,0.011836426,0.010036426,0.034,0.0178,-0.0284,0.0024,-0.0147,0.0018,0.0079
1/1/2019,0.024943258,0.022843258,0.0841,0.0309,-0.0062,-0.0069,-0.0136,0.0021,-0.0868
1/12/2018,-0.050567094,-0.052467094,-0.0955,-0.0305,-0.0147,-0.0013,0.0016,0.0019,0.0184
1/11/2018,0.005747599,0.003947599,0.0169,-0.0082,0.0025,-0.006,0.0032,0.0018,-0.0142
1/10/2018,-0.018043426,-0.019943426,-0.0768,-0.0451,0.0344,0.0087,0.0345,0.0019,-0.0182
1/9/2018,0.043920791,0.042420791,0.0006,-0.0252,-0.013,0.0059,0.0124,0.0015,-0.0007
1/8/2018,-0.005631844,-0.007231844,0.0344,0.0065,-0.0408,-0.0028,-0.025,0.0016,0.0531
1/7/2018,0.083484409,0.081884409,0.0319,-0.0193,0.004,0.0163,0.0044,0.0016,-0.0158
1/6/2018,0.053684443,0.052284443,0.0048,0.0086,-0.0238,0.0071,0.0033,0.0014,-0.0238
1/5/2018,-0.008571682,-0.009971682,0.0265,0.0472,-0.0316,-0.0195,-0.0142,0.0014,0.0381
1/4/2018,-0.001095217,-0.002495217,0.0029,0.0097,0.0054,-0.0209,0.0118,0.0014,0.002
1/3/2018,-0.02636684,-0.02756684,-0.0235,0.0354,-0.0012,-0.0051,0,0.0012,-0.0124
1/2/2018,-0.050703923,-0.051803923,-0.0365,0.0032,-0.0119,0.0052,-0.0225,0.0011,0.0396
1/1/2018,0.018920912,0.017820912,0.0558,-0.0315,-0.0138,-0.005,-0.0089,0.0011,0.0393
1/12/2017,0.02566304,0.02476304,0.0106,-0.0104,0.0014,0.0065,0.0165,0.0009,-0.0165
1/11/2017,0.071669579,0.070869579,0.0312,-0.0043,-0.0005,0.0312,0,0.0008,-0.0073
1/10/2017,-0.007710222,-0.008610222,0.0225,-0.0197,-0.0005,0.0104,-0.0333,0.0009,0.043
1/9/2017,-0.025988107,-0.026888107,0.0251,0.0484,0.0303,-0.0118,0.0163,0.0009,-0.0117
1/8/2017,-0.072565836,-0.073465836,0.0016,-0.0185,-0.0224,0.0028,-0.0242,0.0009,0.0352
1/7/2017,0.034635244,0.033935244,0.0187,-0.0159,-0.0028,-0.0071,-0.0015,0.0007,0.0163
1/6/2017,-0.015656928,-0.016256928,0.0078,0.0248,0.0135,-0.0201,-0.0007,0.0006,-0.0026
1/5/2017,-0.066262832,-0.066862832,0.0106,-0.0305,-0.0378,0.0121,-0.0188,0.0006,0.0145
1/4/2017,0.019490187,0.018990187,0.0109,0.0049,-0.0187,0.02,-0.0155,0.0005,0.0055
1/3/2017,0.029975599,0.029675599,0.0017,0.0078,-0.0317,0.0068,-0.01,0.0003,-0.0092
1/2/2017,-0.005061095,-0.005461095,0.0357,-0.0212,-0.0179,0.0078,-0.0172,0.0004,-0.0166
1/1/2017,0.06987868,0.06947868,0.0194,-0.0128,-0.0278,-0.0001,-0.0095,0.0004,-0.0094
1/12/2016,0.051452707,0.051152707,0.0182,0.0041,0.0358,0.0099,-0.003,0.0003,-0.0042
1/11/2016,0.06937114,0.06927114,0.0486,0.0681,0.0829,-0.001,0.037,0.0001,-0.0415
